Any,Data,Codi_Postal,Sector_Economic,Tram_Horari,Valor
2023,2023-01-01,08009,Serveis,De 06:00:00 a 11:59:59 h,9570
2023,2023-01-01,08009,Serveis,De 12:00:00 a 17:59:59 h,11111
2023,2023-01-01,08009,Serveis,De 18:00:00 a 23:59:59 h,11480
2023,2023-01-01,08009,Serveis,No consta,541
2023,2023-01-01,08010,Indústria,De 00:00:00 a 05:59:59 h,1599
2023,2023-01-01,08010,Indústria,De 06:00:00 a 11:59:59 h,567
2023,2023-01-01,08010,Indústria,De 12:00:00 a 17:59:59 h,619
2023,2023-01-01,08010,Indústria,De 18:00:00 a 23:59:59 h,622
2023,2023-01-01,08010,Indústria,No consta,34
2023,2023-01-01,08010,No especificat,De 00:00:00 a 05:59:59 h,4
2023,2023-01-01,08010,No especificat,De 06:00:00 a 11:59:59 h,16
2023,2023-01-01,08010,No especificat,De 12:00:00 a 17:59:59 h,12
2023,2023-01-01,08010,No especificat,De 18:00:00 a 23:59:59 h,9
2023,2023-01-01,08010,No especificat,No consta,0
2023,2023-01-01,08010,Residencial,De 00:00:00 a 05:59:59 h,8110
2023,2023-01-01,08010,Residencial,De 06:00:00 a 11:59:59 h,8354
2023,2023-01-01,08010,Residencial,De 12:00:00 a 17:59:59 h,11576
2023,2023-01-01,08010,Residencial,De 18:00:00 a 23:59:59 h,12807
2023,2023-01-01,08010,Residencial,No consta,1604
2023,2023-01-01,08010,Serveis,De 00:00:00 a 05:59:59 h,12760
2023,2023-01-01,08010,Serveis,De 06:00:00 a 11:59:59 h,13948
2023,2023-01-01,08010,Serveis,De 12:00:00 a 17:59:59 h,15043
2023,2023-01-01,08010,Serveis,De 18:00:00 a 23:59:59 h,14972
2023,2023-01-01,08010,Serveis,No consta,523
2023,2023-01-01,08011,Indústria,De 00:00:00 a 05:59:59 h,426
2023,2023-01-01,08011,Indústria,De 06:00:00 a 11:59:59 h,487
2023,2023-01-01,08011,Indústria,De 12:00:00 a 17:59:59 h,531
2023,2023-01-01,08011,Indústria,De 18:00:00 a 23:59:59 h,533
2023,2023-01-01,08011,Indústria,No consta,36
2023,2023-01-01,08011,No especificat,De 00:00:00 a 05:59:59 h,31
2023,2023-01-01,08011,No especificat,De 06:00:00 a 11:59:59 h,29
2023,2023-01-01,08011,No especificat,De 12:00:00 a 17:59:59 h,37
2023,2023-01-01,08011,No especificat,De 18:00:00 a 23:59:59 h,33
2023,2023-01-01,08011,No especificat,No consta,2
2023,2023-01-01,08011,Residencial,De 00:00:00 a 05:59:59 h,13761
2023,2023-01-01,08011,Residencial,De 06:00:00 a 11:59:59 h,14409
2023,2023-01-01,08011,Residencial,De 12:00:00 a 17:59:59 h,21254
2023,2023-01-01,08011,Residencial,De 18:00:00 a 23:59:59 h,23342
2023,2023-01-01,08011,Residencial,No consta,3035
2023,2023-01-01,08011,Serveis,De 00:00:00 a 05:59:59 h,10976
2023,2023-01-01,08011,Serveis,De 06:00:00 a 11:59:59 h,11401
2023,2023-01-01,08011,Serveis,De 12:00:00 a 17:59:59 h,13202
2023,2023-01-01,08011,Serveis,De 18:00:00 a 23:59:59 h,13843
2023,2023-01-01,08011,Serveis,No consta,641
2023,2023-01-01,08012,Indústria,De 00:00:00 a 05:59:59 h,1016
2023,2023-01-01,08012,Indústria,De 06:00:00 a 11:59:59 h,905
2023,2023-01-01,08012,Indústria,De 12:00:00 a 17:59:59 h,1044
2023,2023-01-01,08012,Indústria,De 18:00:00 a 23:59:59 h,1074
2023,2023-01-01,08012,Indústria,No consta,56
2023,2023-01-01,08012,No especificat,De 00:00:00 a 05:59:59 h,18
2023,2023-01-01,08012,No especificat,De 06:00:00 a 11:59:59 h,20
2023,2023-01-01,08012,No especificat,De 12:00:00 a 17:59:59 h,25
2023,2023-01-01,08012,No especificat,De 18:00:00 a 23:59:59 h,32
2023,2023-01-01,08012,No especificat,No consta,0
2023,2023-01-01,08012,Residencial,De 00:00:00 a 05:59:59 h,18207
2023,2023-01-01,08012,Residencial,De 06:00:00 a 11:59:59 h,19132
2023,2023-01-01,08012,Residencial,De 12:00:00 a 17:59:59 h,29055
2023,2023-01-01,08012,Residencial,De 18:00:00 a 23:59:59 h,32992
2023,2023-01-01,08012,Residencial,No consta,3954
2023,2023-01-01,08012,Serveis,De 00:00:00 a 05:59:59 h,11238
2023,2023-01-01,08012,Serveis,De 06:00:00 a 11:59:59 h,11133
2023,2023-01-01,08012,Serveis,De 12:00:00 a 17:59:59 h,13011
2023,2023-01-01,08012,Serveis,De 18:00:00 a 23:59:59 h,13891
2023,2023-01-01,08012,Serveis,No consta,841
2023,2023-01-01,08013,Indústria,De 00:00:00 a 05:59:59 h,1625
2023,2023-01-01,08013,Indústria,De 06:00:00 a 11:59:59 h,1667
2023,2023-01-01,08013,Indústria,De 12:00:00 a 17:59:59 h,1893
2023,2023-01-01,08013,Indústria,De 18:00:00 a 23:59:59 h,1978
2023,2023-01-01,08013,Indústria,No consta,81
